,index,FIPS,Confirmed,icu_beds,utility
0,0,1001.0,6,14.572734450923223,0.041172780717347694
1,1,1003.0,5,78.61280487804878,0.00636028698855924
2,2,1005.0,0,8.271097417840378,0
3,3,1007.0,0,21.35700680272109,0
4,4,1009.0,4,31.39879695720653,0.012739341591499847
5,5,1011.0,2,7.552324078982243,0.026481914429041846
6,6,1013.0,1,8.154674796747969,0.01226290471324244
7,7,1015.0,3,53.975218658892146,0.00555810624679288
8,8,1017.0,13,21.03785228377065,0.06179337997362337
9,9,1019.0,1,16.040629438588624,0.006234169325016136
10,10,1021.0,6,28.41633260447035,0.02111461772183826
11,11,1023.0,1,11.387755102040815,0.00878136200716846
12,12,1025.0,0,25.75,0
13,13,1027.0,1,19.466472303207,0.005137037591732814
14,14,1029.0,3,19.665235105031023,0.015255347744266227
15,15,1031.0,0,10.691226525821595,0
16,16,1033.0,1,20.64625850340136,0.00484349258649094
17,17,1035.0,0,18.95950561090117,0
18,18,1037.0,2,15.399987852283774,0.012987023231342393
19,19,1039.0,1,19.003415206687283,0.005262212024121333
20,20,1041.0,1,9.932863134089088,0.010067590648340358
21,21,1043.0,6,45.20056298381423,0.013274170948155065
22,22,1045.0,0,9.488262910798122,0
23,23,1047.0,2,15.811024052478132,0.012649402046077663
24,24,1049.0,1,51.36720684215762,0.0019467673277872085
25,25,1051.0,12,16.27446550048591,0.07373514048520804
26,26,1053.0,0,17.929878048780484,0
27,27,1055.0,4,32.444120505345,0.012328890220158754
28,28,1057.0,0,17.47474246841594,0
29,29,1059.0,3,18.953352769679302,0.015828334102445777
30,30,1061.0,0,12.674510477499144,0
31,31,1063.0,1,18.059358600583092,0.00553729521693928
32,32,1065.0,0,16.168824101069,0
33,33,1067.0,0,5.737089201877934,0
34,34,1069.0,3,13.680751173708925,0.021928620452985582
35,35,1071.0,4,47.07158530931236,0.008497695528450078
36,36,1073.0,177,273.74061224489793,0.0646597516343865
37,37,1075.0,1,12.769144800777454,0.00783137802571645
38,38,1077.0,9,36.77289635065849,0.024474547542238503
39,39,1079.0,2,19.87419992627593,0.010063298182664323
40,40,1081.0,48,28.99468150896723,0.165547602187508
41,41,1083.0,14,36.64280687644517,0.038206680091965116
42,42,1085.0,1,10.985234450923226,0.009103128426321003
43,43,1087.0,0,22.92824123155756,0
44,44,1089.0,47,98.85057471264372,0.047546511627906955
45,45,1091.0,2,39.3768221574344,0.005079130032392412
46,46,1093.0,7,19.69679300291545,0.03553878034339847
47,47,1095.0,4,30.505294728728927,0.013112477802854749
48,48,1097.0,23,151.5,0.015181518151815183
49,49,1099.0,0,34.049114698144066,0
50,50,1101.0,18,52.787500000000016,0.034098981766516684
51,51,1103.0,9,28.379947052712716,0.03171253273758215
52,52,1105.0,0,10.383556851311953,0
53,53,1107.0,1,12.89,0.007757951900698216
54,54,1109.0,2,6.5913145539906095,0.030342960931657115
55,55,1111.0,1,18.383333333333333,0.00543970988213962
56,56,1113.0,1,16.299316119350618,0.006135226733916743
57,57,1115.0,9,53.680272108843525,0.016765935876314794
58,58,1117.0,66,69.60738581146742,0.09481752436266164
59,59,1119.0,0,14.239591836734695,0
60,60,1121.0,4,28.609815354713305,0.013981215713582098
61,61,1123.0,4,22.04359815354713,0.018145857913656183
62,62,1125.0,21,74.16345966958215,0.028315831129724207
63,63,1127.0,23,53.30715257531585,0.043146179994333955
64,64,1129.0,2,42.0,0.004761904761904762
65,65,1131.0,2,33.654761904761905,0.005942695436858861
66,66,1133.0,2,30.674441205053448,0.006520086174122418
67,67,2013.0,0,2.269230769230769,0
68,68,2016.0,0,3.1769230769230763,0
69,69,2020.0,30,13.615384615384619,0.2203389830508474
