,STCOUNTYFP,icu_beds
0,41001,12.229296066252589
1,41003,9.400114942528736
2,41005,78.91062801932364
3,41007,19.51086956521739
4,41009,18.643719806763286
5,41011,11.790000000000003
6,41013,4.136054421768708
7,41015,9.941666666666666
8,41017,6.462585034013605
9,41019,36.70333333333334
10,41021,7.804347826086956
11,41023,8.301530612244898
12,41025,6.979591836734693
13,41027,9.105072463768115
14,41029,21.333333333333332
15,41031,4.523809523809524
16,41033,14.666666666666668
17,41035,22.03595238095238
18,41037,10.326530612244898
19,41039,49.55239130434785
20,41041,38.82195652173914
21,41043,23.40879310344827
22,41045,14.75357142857143
23,41047,67.16569715142428
24,41049,14.307971014492756
25,41051,142.64613526570034
26,41053,16.892381309345332
27,41055,13.007246376811594
28,41057,37.72101449275363
29,41059,26.290092658588744
30,41061,15.97623799341547
31,41063,5.754098360655737
32,41065,14.558266784974858
33,41067,66.33695652173913
34,41069,2.8517450458444245
35,41071,26.250791271031158
36,33001,16.00352112676056
37,33003,26.364012046555864
38,33005,12.634976525821592
39,33007,7.028135048231512
40,33009,20.698356807511736
41,33011,36.55706653715394
42,33013,26.417253521126753
43,33015,52.1345508464915
44,33017,15.04341968207962
45,33019,7.667253521126761
46,25001,163.1034482758621
47,25003,43.010335917312645
48,25005,121.80649481084707
49,25007,19.275862068965516
50,25009,167.05747126436782
51,25011,49.87294518665127
52,25013,77.40955432517949
53,25015,38.75018934331283
54,25017,286.4443629249202
55,25019,8.896551724137932
56,25021,133.50227285138678
57,25023,172.0
58,25025,128.01149425287363
59,25027,179.85675272010428
60,66010,0.0
61,17001,14.680055238878769
62,17003,9.04639175257732
63,17005,11.172577422577424
64,17007,13.24945675793133
65,17009,2.133116883116883
66,17011,31.890899659107745
67,17013,17.066558441558442
68,17015,7.946553074813945
69,17017,3.7922077922077913
70,17019,23.798076923076913
71,17021,9.599025974025972
72,17023,5.853007087763186
73,17025,5.5704289612826186
74,17027,30.153846153846153
75,17029,5.859840159840159
76,17031,1930.2153111903108
77,17033,11.142095754290878
78,17035,4.633366633366633
79,17037,24.405382305382304
80,17039,6.621365423194691
81,17041,5.03484015984016
82,17043,244.99912219912244
83,17045,8.546723646723645
84,17047,5.920325203252032
85,17049,7.725774225774223
86,17051,7.5073676323676315
87,17053,11.782598499061914
88,17055,37.33333333333332
89,17057,17.73432925456047
90,17059,9.14959349593496
91,17061,6.7413211788211775
92,17063,19.018111753371866
93,17065,9.458286429018136
94,17067,9.83603896103896
95,17069,6.996747967479676
96,17071,11.069857946303031
97,17073,23.341572831168207
98,17075,26.590384615384608
99,17077,23.409463388844827
100,17079,9.655240085118134
101,17081,30.56410256410256
102,17083,21.74358974358974
103,17085,11.258628471450873
104,17087,10.58447283651152
105,17089,100.98131373131375
106,17091,39.49999999999999
107,17093,31.35873015873015
108,17095,18.435452793834298
109,17097,166.20770923246167
110,17099,29.67563361493998
111,17101,6.189430894308943
112,17103,24.249999999999993
113,17105,20.0434914162392
114,17107,9.597386042455122
115,17109,8.412969496784523
116,17111,51.93696581196582
117,17113,25.356939308165877
118,17115,15.566433566433561
119,17117,22.19819763569764
120,17119,69.94871794871793
121,17121,24.560647685647684
122,17123,12.196857862753816
123,17125,7.103448815154016
124,17127,5.8734939759036155
125,17129,4.029220779220778
126,17131,15.697353941355468
127,17133,19.692307692307686
128,17135,14.754329004329003
129,17137,8.236201298701296
130,17139,2.50546953046953
131,17141,24.125641025641023
132,17143,46.26589595375721
133,17145,17.632831086439335
134,17147,6.964610389610389
135,17149,8.99174355056708
136,17151,6.3475952590851215
137,17153,10.053968451124083
138,17155,6.878938787609307
139,17157,33.632831086439325
140,17159,8.579289409777216
141,17161,30.363972463029064
142,17163,73.02564102564102
143,17165,11.04652908067542
144,17167,33.65584415584417
145,17169,4.266233766233765
146,17171,3.969967532467532
147,17173,8.100524475524473
148,17175,5.8497109826589595
149,17177,19.73702737940026
150,17179,18.18920527402482
151,17181,9.343921283866631
152,17183,16.817307692307686
153,17185,7.534959349593496
154,17187,11.733743746749527
155,17189,21.94871794871795
156,17191,19.76680859790616
157,17193,15.608130081300816
158,9001,157.77697841726612
159,17195,13.926992376992375
160,9003,176.49718625099925
161,17197,124.52539682539691
162,9005,77.76358113509191
163,17199,29.749760769155422
164,9007,43.37557687183588
165,9009,138.4728697042367
166,17201,37.99689265536721
167,9011,66.41952245323482
168,17203,11.067319892852112
169,9013,34.45629629629631
170,9015,61.48666666666668
171,50001,9.201662292213475
172,50003,14.78082068881326
173,50005,9.890091863517059
174,50007,13.753937007874018
175,50009,4.374999999999999
176,50011,9.708661417322835
177,50013,2.6968503937007875
178,50015,7.281496062992126
179,50017,13.134405074365704
180,50019,10.613517060367457
181,50021,16.328464868615562
182,50023,15.049103237095364
183,50025,12.966954022988505
184,50027,14.505796150481189
185,1001,14.572734450923226
186,1003,78.61280487804878
187,1005,8.271097417840377
188,1007,21.35700680272109
189,1009,31.39879695720653
190,1011,7.552324078982242
191,1013,8.154674796747967
192,1015,53.97521865889214
193,1017,21.03785228377065
194,1019,16.040629438588624
195,1021,28.416332604470355
196,1023,11.387755102040815
197,1025,25.75
198,1027,19.466472303207
199,1029,19.665235105031023
200,1031,10.691226525821596
201,1033,20.64625850340136
202,1035,18.959505610901175
203,1037,15.399987852283772
204,1039,19.00341520668728
205,1041,9.932863134089088
206,42001,26.60353110737448
207,1043,45.20056298381423
208,42003,251.7046979865772
209,1045,9.488262910798122
210,42005,55.24926612454577
211,1047,15.811024052478132
212,42007,43.17412788553729
213,1049,51.367206842157614
